Monthly Teleconnection Index: East Pacific-North Pacific Pattern                                              
Indices are normalized using the 1981-2010 base period monthly means and standard deviations.

Values are set to -99.90 for calendar months when the pattern
is not normally a leading mode of variability.

The data is written in format(i4,3x,i2,1x,f6.2).

YEAR MONTH INDEX
1950    1   0.91
1950    2  -1.13
1950    3  -0.02
1950    4  -1.87
1950    5  -0.98
1950    6  -0.47
1950    7   1.38
1950    8   1.87
1950    9   0.98
1950   10  -0.88
1950   11  -0.39
1950   12 -99.90
1951    1  -0.81
1951    2  -1.32
1951    3   0.20
1951    4   0.02
1951    5  -0.04
1951    6  -0.62
1951    7   0.98
1951    8   0.41
1951    9   1.42
1951   10  -0.11
1951   11   0.62
1951   12 -99.90
1952    1   1.59
1952    2  -1.09
1952    3  -2.13
1952    4  -2.44
1952    5   0.06
1952    6  -0.25
1952    7   1.30
1952    8   1.35
1952    9   0.35
1952   10   1.10
1952   11  -0.62
1952   12 -99.90
1953    1   0.24
1953    2  -1.51
1953    3  -2.29
1953    4  -0.07
1953    5  -0.63
1953    6   3.88
1953    7   0.99
1953    8  -0.54
1953    9   0.12
1953   10  -0.52
1953   11  -2.15
1953   12 -99.90
1954    1   0.60
1954    2  -1.75
1954    3   1.51
1954    4   0.08
1954    5   0.20
1954    6  -1.64
1954    7  -1.79
1954    8   0.83
1954    9   0.31
1954   10  -0.53
1954   11  -0.48
1954   12 -99.90
1955    1  -1.32
1955    2  -1.71
1955    3  -0.13
1955    4  -1.35
1955    5  -1.61
1955    6  -2.84
1955    7  -1.49
1955    8   0.61
1955    9  -0.15
1955   10  -1.09
1955   11  -0.37
1955   12 -99.90
1956    1  -0.39
1956    2  -1.99
1956    3  -1.13
1956    4   0.29
1956    5  -0.05
1956    6  -1.95
1956    7   0.48
1956    8   1.92
1956    9   0.98
1956   10  -1.43
1956   11  -0.82
1956   12 -99.90
1957    1   1.42
1957    2  -0.98
1957    3  -0.56
1957    4   0.26
1957    5   0.85
1957    6   1.71
1957    7  -1.03
1957    8   0.49
1957    9   1.78
1957   10   0.84
1957   11   0.60
1957   12 -99.90
1958    1  -0.38
1958    2   0.13
1958    3   0.45
1958    4   0.73
1958    5   0.11
1958    6   3.00
1958    7   1.51
1958    8   0.14
1958    9  -0.13
1958   10  -0.29
1958   11   0.73
1958   12 -99.90
1959    1   1.62
1959    2   0.04
1959    3  -2.03
1959    4   0.22
1959    5   0.30
1959    6   1.19
1959    7  -0.14
1959    8   0.34
1959    9  -0.43
1959   10   1.03
1959   11   1.43
1959   12 -99.90
1960    1  -0.76
1960    2   0.52
1960    3   0.12
1960    4  -0.39
1960    5  -0.74
1960    6  -0.71
1960    7   0.65
1960    8  -0.08
1960    9   0.02
1960   10   0.38
1960   11  -0.40
1960   12 -99.90
1961    1   1.09
1961    2  -1.50
1961    3  -1.47
1961    4   0.60
1961    5   0.26
1961    6  -0.61
1961    7  -0.76
1961    8   0.31
1961    9  -0.91
1961   10  -0.75
1961   11  -1.92
1961   12 -99.90
1962    1   0.74
1962    2   1.66
1962    3   0.25
