"year","ndjfm.sst"
1951,5.25300226626189
1952,5.31167894498162
1953,5.59887541377026
1954,5.37428663761719
1955,6.11582273193028
1956,5.31786938128264
1957,5.15787563531295
1958,6.75834502448206
1959,5.9452316014663
1960,6.0513081478036
1961,5.64631706735362
1962,5.556864016989
1963,6.07462044591489
1964,6.16881403819374
1965,4.90314182094906
1966,5.4580039832903
1967,5.26605402905008
1968,5.59046151534371
1969,4.74806814815687
1970,6.03099891413813
1971,5.38424786899401
1972,4.46790515132572
1973,4.99219398187554
1974,4.94030163702757
1975,5.30560837621274
1976,4.95572546150373
1977,5.94912535107654
1978,5.27519963098609
1979,5.75721953226172
1980,5.85395959149236
1981,5.90211239068404
1982,5.77592566738958
1983,5.94257475707842
1984,6.31426083108653
1985,6.24209924677144
1986,5.57270614478899
1987,6.6331234600233
1988,6.1701269035754
1989,5.41917221235192
1990,5.55581334362859
1991,5.30941063735796
1992,5.95749504980834
1993,5.59528288426607
1994,6.31575844184212
1995,5.19832829807116
1996,5.46809789201488
1997,5.3225928493168
1998,6.48467659431955
1999,5.96188829359801
2000,5.21958818642989
2001,5.88107681481735
2002,5.20247317293416
2003,6.92182921326679
2004,5.78353831457055
2005,5.86530097256536
2006,5.67230492260145
2007,5.11419382458148
2008,5.04518187771673
2009,4.98158172990965
2010,5.77872622427733
2011,5.76197226669477
2012,4.94960791131725
2013,5.56634454416192
2014,6.17257952897445
2015,7.09781650460285
2016,6.81308063838793
2017,6.54752050690029
2018,6.12621084399845
2019,7.06662355920543
2020,6.5963052822196
