"year","apr.jun.wSST"
1950,5.60884983198983
1951,5.39873684304101
1952,5.62410459064302
1953,6.29071580796015
1954,6.00292367026919
1955,5.87621286937169
1956,6.22949335688636
1957,6.78605931145804
1958,7.28441627820333
1959,6.93409662587302
1960,6.40430324418204
1961,6.98632009256454
1962,6.15877568154108
1963,6.45875414780208
1964,5.71625497227623
1965,5.17678297701336
1966,5.48453960532234
1967,6.29488176958902
1968,6.49389661493756
1969,5.61505409081777
1970,6.32879132883889
1971,4.63086787291935
1972,4.58506042049045
1973,5.65763030733381
1974,5.77964094139281
1975,5.05943160397666
1976,5.46072123164222
1977,6.77078114804767
1978,6.21239937487103
1979,6.51518643470038
1980,6.16988060587928
1981,7.64573778424944
1982,5.37118993486677
1983,7.26556398755028
1984,7.37055830160777
1985,5.5777561778114
1986,5.82265365691412
1987,6.67093541508629
1988,6.54597210316431
1989,6.31895493893396
1990,6.48364484877813
1991,5.90115228721074
1992,6.09847036997477
1993,6.86798507826669
1994,6.56962998708089
1995,5.95554260980515
1996,6.70877599716187
1997,6.84294064272018
1998,6.74048506645929
1999,5.39572627771468
2000,6.39612937541235
2001,6.70410639899118
2002,6.30045873778207
2003,6.87675331887745
2004,6.84924902234759
2005,7.63690490382058
2006,6.42392372517359
2007,5.72613934675852
2008,5.65730358305431
2009,5.89891063031696
2010,6.52754919301896
2011,6.57129037947882
2012,5.80910937559037
2013,6.01928260212853
2014,7.46489575931004
2015,7.79141290982564
2016,8.27048778533936
2017,6.88596939472925
2018,6.98079114300864
2019,8.02717739059812
2020,7.23709091118404
